"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm","Total-Throughput"
0,0,0,1,0,7,0,0,0,4.8425
0,0,0,1,0,0,1,0,0,1.9316
0,0,0,1,0,0,2,0,0,2.4498
0,0,0,1,0,0,3,0,0,1.1209
0,0,0,1,0,0,4,0,0,1.2341
0,0,0,1,0,0,5,0,0,1.8234
0,0,0,1,0,0,6,0,0,5.2256
0,0,0,1,0,0,7,0,0,3.7249
0,0,0,1,0,0,0,1,0,1.9297
0,0,0,1,0,0,0,2,0,2.9466
0,0,0,1,0,0,0,3,0,3.9559
0,0,0,1,0,0,0,4,0,4.8936
0,0,0,1,0,0,0,5,0,5.8563
0,0,0,1,0,0,0,6,0,6.7501
0,0,0,1,0,0,0,7,0,7.7112
0,0,0,1,0,0,0,0,1,1.9985
0,0,0,1,0,0,0,0,2,2.9474
0,0,0,1,0,0,0,0,3,2.8194
0,0,0,1,0,0,0,0,4,4.9159
0,0,0,1,0,0,0,0,5,5.9939
0,0,0,1,0,0,0,0,6,6.7975
0,0,0,1,0,0,0,0,7,7.3518
1,0,0,0,1,0,0,0,0,2.0363
2,0,0,0,1,0,0,0,0,3.0043
3,0,0,0,1,0,0,0,0,3.8013
4,0,0,0,1,0,0,0,0,4.6838
5,0,0,0,1,0,0,0,0,5.0299
6,0,0,0,1,0,0,0,0,5.8654
7,0,0,0,1,0,0,0,0,5.9380
0,1,0,0,1,0,0,0,0,2.0900
0,2,0,0,1,0,0,0,0,3.0575
0,3,0,0,1,0,0,0,0,3.7969
0,4,0,0,1,0,0,0,0,4.5163
0,5,0,0,1,0,0,0,0,5.0920
0,6,0,0,1,0,0,0,0,5.6628
0,7,0,0,1,0,0,0,0,5.9799
0,0,1,0,1,0,0,0,0,2.2209
0,0,2,0,1,0,0,0,0,2.9535
0,0,3,0,1,0,0,0,0,4.1809
0,0,4,0,1,0,0,0,0,5.0833
0,0,5,0,1,0,0,0,0,5.9225
0,0,6,0,1,0,0,0,0,6.8294
0,0,7,0,1,0,0,0,0,8.1809
0,0,0,1,1,0,0,0,0,1.8859
0,0,0,2,1,0,0,0,0,2.5781
0,0,0,3,1,0,0,0,0,1.7919
0,0,0,4,1,0,0,0,0,3.4842
0,0,0,5,1,0,0,0,0,3.5714
0,0,0,6,1,0,0,0,0,3.5781
0,0,0,7,1,0,0,0,0,3.5992
0,0,0,0,1,0,0,0,0,1.0000
0,0,0,0,2,0,0,0,0,2.0556
0,0,0,0,3,0,0,0,0,3.0556
0,0,0,0,4,0,0,0,0,4.0000
0,0,0,0,5,0,0,0,0,5.5556
0,0,0,0,6,0,0,0,0,5.8055
0,0,0,0,7,0,0,0,0,6.8056
0,0,0,0,8,0,0,0,0,7.7222
0,0,0,0,1,1,0,0,0,1.8925
0,0,0,0,1,2,0,0,0,2.7070
0,0,0,0,1,3,0,0,0,3.2096
0,0,0,0,1,4,0,0,0,3.8690
0,0,0,0,1,5,0,0,0,4.4322
0,0,0,0,1,6,0,0,0,4.9505
0,0,0,0,1,7,0,0,0,5.1465
0,0,0,0,1,0,1,0,0,1.9971
0,0,0,0,1,0,2,0,0,2.7588
0,0,0,0,1,0,3,0,0,3.4985
0,0,0,0,1,0,4,0,0,4.2602
0,0,0,0,1,0,5,0,0,4.5804
0,0,0,0,1,0,6,0,0,5.5015
0,0,0,0,1,0,7,0,0,6.0994
0,0,0,0,1,0,0,1,0,2.0102
0,0,0,0,1,0,0,2,0,3.0463
0,0,0,0,1,0,0,3,0,4.0035
0,0,0,0,1,0,0,4,0,4.9867
0,0,0,0,1,0,0,5,0,5.9345
0,0,0,0,1,0,0,6,0,7.0871
0,0,0,0,1,0,0,7,0,7.7522
0,0,0,0,1,0,0,0,1,2.0319
0,0,0,0,1,0,0,0,2,3.1771
0,0,0,0,1,0,0,0,3,3.9315
0,0,0,0,1,0,0,0,4,5.0427
0,0,0,0,1,0,0,0,5,5.9723
0,0,0,0,1,0,0,0,6,6.9846
0,0,0,0,1,0,0,0,7,7.9454
1,0,0,0,0,1,0,0,0,2.0017
2,0,0,0,0,1,0,0,0,2.7846
3,0,0,0,0,1,0,0,0,3.4011
4,0,0,0,0,1,0,0,0,3.9612
5,0,0,0,0,1,0,0,0,4.5407
6,0,0,0,0,1,0,0,0,5.1106
7,0,0,0,0,1,0,0,0,5.8146
0,1,0,0,0,1,0,0,0,1.9206
0,2,0,0,0,1,0,0,0,2.7610
0,3,0,0,0,1,0,0,0,3.3854
0,4,0,0,0,1,0,0,0,4.1557
0,5,0,0,0,1,0,0,0,4.5750
0,6,0,0,0,1,0,0,0,4.9891
0,7,0,0,0,1,0,0,0,5.8597
0,0,1,0,0,1,0,0,0,2.0198
0,0,2,0,0,1,0,0,0,3.2049
0,0,3,0,0,1,0,0,0,4.2022
0,0,4,0,0,1,0,0,0,4.8440
0,0,5,0,0,1,0,0,0,6.1030
0,0,6,0,0,1,0,0,0,6.8162
0,0,7,0,0,1,0,0,0,7.7310
0,0,0,1,0,1,0,0,0,1.9523
0,0,0,2,0,1,0,0,0,2.5359
0,0,0,3,0,1,0,0,0,1.5626
0,0,0,4,0,1,0,0,0,4.5523
0,0,0,5,0,1,0,0,0,5.3012
0,0,0,6,0,1,0,0,0,5.6804
0,0,0,7,0,1,0,0,0,3.3933
0,0,0,0,1,1,0,0,0,1.8925
0,0,0,0,2,1,0,0,0,2.8480
0,0,0,0,3,1,0,0,0,3.7524
0,0,0,0,4,1,0,0,0,5.2574
0,0,0,0,5,1,0,0,0,5.6439
0,0,0,0,6,1,0,0,0,6.5986
0,0,0,0,7,1,0,0,0,8.2050
0,0,0,0,0,1,0,0,0,1.0000
0,0,0,0,0,2,0,0,0,1.8665
0,0,0,0,0,3,0,0,0,2.4257
0,0,0,0,0,4,0,0,0,2.9842
0,0,0,0,0,5,0,0,0,3.5365
0,0,0,0,0,6,0,0,0,3.8523
0,0,0,0,0,7,0,0,0,4.2159
0,0,0,0,0,8,0,0,0,4.3899
0,0,0,0,0,1,1,0,0,1.8154
0,0,0,0,0,1,2,0,0,2.5267
0,0,0,0,0,1,3,0,0,3.3021
0,0,0,0,0,1,4,0,0,4.1055
0,0,0,0,0,1,5,0,0,4.1481
0,0,0,0,0,1,6,0,0,4.4048
0,0,0,0,0,1,7,0,0,5.5964
0,0,0,0,0,1,0,1,0,1.9521
0,0,0,0,0,1,0,2,0,2.8814
0,0,0,0,0,1,0,3,0,3.8378
0,0,0,0,0,1,0,4,0,4.8441
0,0,0,0,0,1,0,5,0,5.7628
0,0,0,0,0,1,0,6,0,6.6107
0,0,0,0,0,1,0,7,0,7.5765
0,0,0,0,0,1,0,0,1,1.9023
0,0,0,0,0,1,0,0,2,3.1242
0,0,0,0,0,1,0,0,3,4.3871
0,0,0,0,0,1,0,0,4,4.3785
0,0,0,0,0,1,0,0,5,5.8283
0,0,0,0,0,1,0,0,6,6.5862
0,0,0,0,0,1,0,0,7,6.9525
1,0,0,0,0,0,1,0,0,1.9899
2,0,0,0,0,0,1,0,0,2.9088
3,0,0,0,0,0,1,0,0,3.4868
4,0,0,0,0,0,1,0,0,4.1320
5,0,0,0,0,0,1,0,0,4.7892
6,0,0,0,0,0,1,0,0,5.4037
7,0,0,0,0,0,1,0,0,5.7045
0,1,0,0,0,0,1,0,0,2.0204
0,2,0,0,0,0,1,0,0,2.9214
0,3,0,0,0,0,1,0,0,3.5578
0,4,0,0,0,0,1,0,0,4.0526
0,5,0,0,0,0,1,0,0,4.7895
0,6,0,0,0,0,1,0,0,5.3575
0,7,0,0,0,0,1,0,0,5.7486
0,0,1,0,0,0,1,0,0,1.6912
0,0,2,0,0,0,1,0,0,2.5766
0,0,3,0,0,0,1,0,0,3.8826
0,0,4,0,0,0,1,0,0,4.7732
0,0,5,0,0,0,1,0,0,5.6791
0,0,6,0,0,0,1,0,0,6.9221
0,0,7,0,0,0,1,0,0,7.6568
0,0,0,1,0,0,1,0,0,1.9316
0,0,0,2,0,0,1,0,0,1.2326
0,0,0,3,0,0,1,0,0,1.6309
0,0,0,4,0,0,1,0,0,2.7777
0,0,0,5,0,0,1,0,0,1.1452
0,0,0,6,0,0,1,0,0,5.5326
0,0,0,7,0,0,1,0,0,1.0526
0,0,0,0,1,0,1,0,0,1.9971
0,0,0,0,2,0,1,0,0,2.8904
0,0,0,0,3,0,1,0,0,3.8114
0,0,0,0,4,0,1,0,0,4.7544
0,0,0,0,5,0,1,0,0,5.6608
0,0,0,0,6,0,1,0,0,6.4840
0,0,0,0,7,0,1,0,0,7.3494
0,0,0,0,0,1,1,0,0,1.8154
0,0,0,0,0,2,1,0,0,2.5717
0,0,0,0,0,3,1,0,0,3.1454
0,0,0,0,0,4,1,0,0,3.6417
0,0,0,0,0,5,1,0,0,4.1332
0,0,0,0,0,6,1,0,0,4.4385
0,0,0,0,0,7,1,0,0,4.6545
0,0,0,0,0,0,1,0,0,1.0000
0,0,0,0,0,0,2,0,0,1.8246
0,0,0,0,0,0,3,0,0,2.7456
0,0,0,0,0,0,4,0,0,3.1798
0,0,0,0,0,0,5,0,0,3.6535
0,0,0,0,0,0,6,0,0,4.8114
0,0,0,0,0,0,7,0,0,4.0395
0,0,0,0,0,0,8,0,0,4.0351
0,0,0,0,0,0,1,1,0,1.8710
0,0,0,0,0,0,1,2,0,2.9386
0,0,0,0,0,0,1,3,0,3.9211
0,0,0,0,0,0,1,4,0,4.8171
0,0,0,0,0,0,1,5,0,5.8350
0,0,0,0,0,0,1,6,0,6.7806
0,0,0,0,0,0,1,7,0,7.7367
0,0,0,0,0,0,1,0,1,1.8572
0,0,0,0,0,0,1,0,2,2.5741
0,0,0,0,0,0,1,0,3,3.7674
0,0,0,0,0,0,1,0,4,4.4906
0,0,0,0,0,0,1,0,5,5.7381
0,0,0,0,0,0,1,0,6,6.1602
0,0,0,0,0,0,1,0,7,7.2395
1,0,0,0,0,0,0,1,0,2.1107
2,0,0,0,0,0,0,1,0,2.9783
3,0,0,0,0,0,0,1,0,3.7526
4,0,0,0,0,0,0,1,0,4.3491
5,0,0,0,0,0,0,1,0,4.9110
6,0,0,0,0,0,0,1,0,5.7517
7,0,0,0,0,0,0,1,0,6.1966
0,1,0,0,0,0,0,1,0,2.0778
0,2,0,0,0,0,0,1,0,3.0088
0,3,0,0,0,0,0,1,0,3.7851
0,4,0,0,0,0,0,1,0,4.3359
0,5,0,0,0,0,0,1,0,5.0002
0,6,0,0,0,0,0,1,0,5.6903
0,7,0,0,0,0,0,1,0,6.2226
0,0,1,0,0,0,0,1,0,1.9768
0,0,2,0,0,0,0,1,0,3.0525
0,0,3,0,0,0,0,1,0,3.9540
0,0,4,0,0,0,0,1,0,4.8804
0,0,5,0,0,0,0,1,0,5.9768
0,0,6,0,0,0,0,1,0,6.9200
0,0,7,0,0,0,0,1,0,7.9222
0,0,0,1,0,0,0,1,0,1.9297
0,0,0,2,0,0,0,1,0,1.5333
0,0,0,3,0,0,0,1,0,2.3588
0,0,0,4,0,0,0,1,0,4.7718
0,0,0,5,0,0,0,1,0,3.2451
0,0,0,6,0,0,0,1,0,6.0232
0,0,0,7,0,0,0,1,0,3.5953
0,0,0,0,1,0,0,1,0,2.0102
