"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect","ISR"
0.0000,0.0000,0.0000,0.7531,0.0000,0.0000,1.0370
0.0000,0.0000,0.0000,0.7306,0.0000,0.0000,1.1111
0.0000,0.0000,0.0000,0.6149,0.0000,0.0000,1.0370
0.0000,0.0000,0.0000,0.6655,0.0000,0.0000,1.1111
0.0000,0.0000,0.0000,0.5544,0.0000,0.0000,1.0370
0.0000,0.0000,0.0000,0.0000,0.8584,0.0000,1.0000
0.0000,0.0000,0.0000,0.0000,0.8543,0.0000,1.0741
0.0000,0.0000,0.0000,0.0000,0.8669,0.0000,1.1481
0.0000,0.0000,0.0000,0.0000,0.7222,0.0000,1.0741
0.0000,0.0000,0.0000,0.0000,0.6168,0.0000,1.0370
0.0000,0.0000,0.0000,0.0000,0.6545,0.0000,1.1111
0.0000,0.0000,0.0000,0.0000,0.5424,0.0000,1.0370
0.0000,0.0000,0.0000,0.0000,0.0000,0.9227,0.9630
0.0000,0.0000,0.0000,0.0000,0.0000,0.8970,1.0741
0.0000,0.0000,0.0000,0.0000,0.0000,0.8727,1.0741
0.0000,0.0000,0.0000,0.0000,0.0000,0.8144,1.0741
0.0000,0.0000,0.0000,0.0000,0.0000,0.7356,1.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.7082,1.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.6603,1.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0370
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9750
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0593
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9630
