"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm"
0.0000,1.0086,0.0000,0.0000,0.0000,0.0000,0.0000,0.9808,0.0000
0.0000,1.0086,0.0000,0.0000,0.0000,0.0000,0.0000,0.9734,0.0000
0.0000,0.9224,0.0000,0.0000,0.0000,0.0000,0.0000,0.9708,0.0000
0.0000,1.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8815
0.0000,1.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0251
0.0000,0.9914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9076
0.0000,0.9224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0230
0.0000,0.8707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9870
0.0000,0.7931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9474
0.0000,0.7414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9789
