Redis-1,MMS-1,Checksum,YCSB-A,YCSB-B,Scene-Detect,ISR,Total-Throughput,,
0,2,0,0,0,0,1,0,0,2.92
0,3,0,0,0,0,1,0,0,3.8867
0,4,0,0,0,0,1,0,0,4.9251
0,5,0,0,0,0,1,0,0,5.84
0,6,0,0,0,0,1,0,0,6.76
0,7,0,0,0,0,1,0,0,7.6667
0,0,1,0,0,0,1,0,0,1.989
0,0,2,0,0,0,1,0,0,2.8462
0,0,3,0,0,0,1,0,0,3.6813
0,0,4,0,0,0,1,0,0,4.4011
0,0,5,0,0,0,1,0,0,5.1538
0,0,6,0,0,0,1,0,0,5.8516
0,0,7,0,0,0,1,0,0,6.5055
0,0,0,1,0,0,1,0,0,1.9663
0,0,0,2,0,0,1,0,0,2.689
0,0,0,3,0,0,1,0,0,3.4344
0,0,0,4,0,0,1,0,0,3.9695
0,0,0,5,0,0,1,0,0,4.3931
0,0,0,6,0,0,1,0,0,4.7717
0,0,0,7,0,0,1,0,0,5.1487
0,0,0,0,1,0,1,0,0,1.9444
0,0,0,0,2,0,1,0,0,2.7541
0,0,0,0,3,0,1,0,0,3.4904
0,0,0,0,4,0,1,0,0,4.2361
0,0,0,0,5,0,1,0,0,4.4934
0,0,0,0,6,0,1,0,0,4.9423
0,0,0,0,7,0,1,0,0,5.1706
0,0,0,0,0,1,1,0,0,1.9772
0,0,0,0,0,2,1,0,0,2.8969
0,0,0,0,0,3,1,0,0,3.6869
0,0,0,0,0,4,1,0,0,4.4494
0,0,0,0,0,5,1,0,0,5.0248
0,0,0,0,0,6,1,0,0,5.4768
0,0,0,0,0,7,1,0,0,5.9608
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,2,0,0,2.1154
0,0,0,0,0,0,3,0,0,3.077
0,0,0,0,0,0,4,0,0,4.1154
0,0,0,0,0,0,5,0,0,5.1923
0,0,0,0,0,0,6,0,0,6.0385
0,0,0,0,0,0,7,0,0,7.0385
0,0,0,0,0,0,8,0,0,8
